,CAPTAIN,UTIL1,UTIL2,UTIL3,UTIL4,UTIL5,WINS,RECORD,WIN PCT,COST
110,Khris Middleton,Chris Paul,Devin Booker,Jrue Holiday,Cameron Payne,Jevon Carter,247568,247568-250432-0,0.4971244979919679,49800.0
111,Khris Middleton,Devin Booker,Jrue Holiday,Deandre Ayton,Mikal Bridges,Axel Toupane,247558,247558-250442-0,0.49710441767068275,49800.0
112,Khris Middleton,Devin Booker,Jrue Holiday,Brook Lopez,Mikal Bridges,Dario Saric,247379,247379-250621-0,0.4967449799196787,49800.0
113,Khris Middleton,Chris Paul,Jrue Holiday,Deandre Ayton,Cameron Johnson,Dario Saric,247246,247246-250754-0,0.49647791164658633,47800.0
114,Devin Booker,Khris Middleton,Jrue Holiday,Deandre Ayton,Mikal Bridges,Jeff Teague,247213,247213-250787-0,0.4964116465863454,50000.0
115,Jrue Holiday,Khris Middleton,Chris Paul,Mikal Bridges,Jae Crowder,P.J. Tucker,247082,247082-250918-0,0.49614859437751,50000.0
116,Khris Middleton,Devin Booker,Jrue Holiday,Mikal Bridges,Pat Connaughton,Cameron Payne,246974,246974-251026-0,0.49593172690763054,49800.0
117,Cameron Payne,Khris Middleton,Devin Booker,Jrue Holiday,Deandre Ayton,P.J. Tucker,246960,246960-251040-0,0.4959036144578313,48900.0
118,Khris Middleton,Chris Paul,Jrue Holiday,Deandre Ayton,Mikal Bridges,E'Twaun Moore,246896,246896-251104-0,0.49577510040160644,50000.0
119,Jrue Holiday,Khris Middleton,Devin Booker,Deandre Ayton,Mikal Bridges,Jevon Carter,246617,246617-251383-0,0.495214859437751,49200.0
120,Jrue Holiday,Chris Paul,Devin Booker,Deandre Ayton,Cameron Payne,Cameron Johnson,246248,246248-251752-0,0.4944738955823293,49000.0
121,Khris Middleton,Chris Paul,Jrue Holiday,Deandre Ayton,Jae Crowder,E'Twaun Moore,246196,246196-251804-0,0.4943694779116466,49600.0
122,Deandre Ayton,Khris Middleton,Chris Paul,Jrue Holiday,Jae Crowder,Dario Saric,245787,245787-252213-0,0.49354819277108436,49600.0
123,Khris Middleton,Jrue Holiday,Deandre Ayton,Brook Lopez,Pat Connaughton,Cameron Payne,245732,245732-252268-0,0.49343775100401605,50000.0
124,Mikal Bridges,Khris Middleton,Chris Paul,Jrue Holiday,Deandre Ayton,Cameron Johnson,245648,245648-252352-0,0.4932690763052209,49600.0
125,Khris Middleton,Chris Paul,Jrue Holiday,Deandre Ayton,P.J. Tucker,Bryn Forbes,245607,245607-252393-0,0.4931867469879518,49800.0
126,Devin Booker,Khris Middleton,Jrue Holiday,Deandre Ayton,Jae Crowder,E'Twaun Moore,245586,245586-252414-0,0.49314457831325303,49000.0
127,Devin Booker,Khris Middleton,Chris Paul,Jrue Holiday,Cameron Payne,E'Twaun Moore,245476,245476-252524-0,0.49292369477911646,49400.0
128,Deandre Ayton,Chris Paul,Devin Booker,Jrue Holiday,Mikal Bridges,Cameron Johnson,245465,245465-252535-0,0.4929016064257028,50000.0
129,Deandre Ayton,Khris Middleton,Chris Paul,Devin Booker,P.J. Tucker,Cameron Johnson,245233,245233-252767-0,0.4924357429718875,49600.0
130,Khris Middleton,Jrue Holiday,Deandre Ayton,Mikal Bridges,Jae Crowder,P.J. Tucker,245230,245230-252770-0,0.492429718875502,49200.0
131,Khris Middleton,Chris Paul,Devin Booker,Jrue Holiday,P.J. Tucker,Thanasis Antetokounmpo,244976,244976-253024-0,0.4919196787148594,49600.0
