,CAPTAIN,UTIL1,UTIL2,UTIL3,UTIL4,UTIL5,PRJ,PRJ*MIN,COST
114,Khris Middleton,Chris Paul,Devin Booker,Jrue Holiday,P.J. Tucker,Thanasis Antetokounmpo,228.15625,8.475742211458334,49600.0
115,Chris Paul,Khris Middleton,Devin Booker,Jrue Holiday,P.J. Tucker,Langston Galloway,228.14687500000002,8.150408963020835,49300.0
116,Frank Kaminsky,Khris Middleton,Chris Paul,Devin Booker,Jrue Holiday,Deandre Ayton,228.10625000000002,8.195060253125,48900.0
117,Khris Middleton,Chris Paul,Jrue Holiday,Deandre Ayton,Mikal Bridges,Jevon Carter,228.10625,8.255741369791668,50000.0
118,P.J. Tucker,Khris Middleton,Chris Paul,Jrue Holiday,Deandre Ayton,Jae Crowder,228.05625000000003,8.123712265625,50000.0
119,Chris Paul,Khris Middleton,Devin Booker,Jrue Holiday,Cameron Payne,Jevon Carter,228.04687500000003,7.899613396354169,49500.0
120,Chris Paul,Khris Middleton,Jrue Holiday,Deandre Ayton,Mikal Bridges,Thanasis Antetokounmpo,227.99687500000002,7.941648788020834,49700.0
121,Mikal Bridges,Khris Middleton,Chris Paul,Devin Booker,Jrue Holiday,Dario Saric,227.98125000000005,8.057706144791668,50000.0
122,Chris Paul,Khris Middleton,Devin Booker,Jrue Holiday,Pat Connaughton,Frank Kaminsky,227.94687500000003,7.946952113020835,49700.0
123,Jrue Holiday,Khris Middleton,Chris Paul,Deandre Ayton,Mikal Bridges,Jeff Teague,227.92708333333334,8.136328533680556,50000.0
124,Khris Middleton,Chris Paul,Devin Booker,Jrue Holiday,Cameron Johnson,Frank Kaminsky,227.90625,8.152463294791668,48000.0
125,Khris Middleton,Chris Paul,Jrue Holiday,Deandre Ayton,Jae Crowder,Axel Toupane,227.83125,8.214523407291669,49600.0
126,Chris Paul,Khris Middleton,Jrue Holiday,Deandre Ayton,P.J. Tucker,Bryn Forbes,227.79687500000003,7.897201479687501,49500.0
127,Khris Middleton,Chris Paul,Devin Booker,Jrue Holiday,P.J. Tucker,Jevon Carter,227.75625,8.470696086458334,49600.0
128,Khris Middleton,Chris Paul,Jrue Holiday,Deandre Ayton,Jae Crowder,Abdel Nader,227.74791666666667,8.221004907291668,49800.0
129,Chris Paul,Khris Middleton,Jrue Holiday,Deandre Ayton,P.J. Tucker,E'Twaun Moore,227.69687500000003,7.842321729687501,48100.0
130,Cameron Johnson,Khris Middleton,Chris Paul,Devin Booker,Jrue Holiday,Jae Crowder,227.65625000000003,7.975120478125001,48800.0
131,Chris Paul,Khris Middleton,Devin Booker,Jrue Holiday,P.J. Tucker,Thanasis Antetokounmpo,227.64687500000002,8.156603504687501,49300.0
132,Chris Paul,Devin Booker,Jrue Holiday,Deandre Ayton,Jae Crowder,Dario Saric,227.64687500000002,7.670487842187502,49500.0
133,Khris Middleton,Chris Paul,Jrue Holiday,Deandre Ayton,Cameron Payne,Frank Kaminsky,227.60625000000002,7.889499536458335,48600.0
134,Chris Paul,Khris Middleton,Jrue Holiday,Deandre Ayton,Mikal Bridges,Jevon Carter,227.596875,7.936602663020834,49700.0
135,Khris Middleton,Chris Paul,Jrue Holiday,Deandre Ayton,Jae Crowder,Langston Galloway,227.58125,8.215882157291668,49600.0
136,Jrue Holiday,Khris Middleton,Chris Paul,Devin Booker,P.J. Tucker,Jeff Teague,227.57708333333338,8.351283250347224,49600.0
137,Khris Middleton,Chris Paul,Devin Booker,Deandre Ayton,Jae Crowder,Frank Kaminsky,227.55625,8.134543323958335,50000.0
138,Jrue Holiday,Chris Paul,Devin Booker,Deandre Ayton,P.J. Tucker,Cameron Johnson,227.54375000000002,7.955372053125001,48800.0
139,Jrue Holiday,Khris Middleton,Chris Paul,Devin Booker,Pat Connaughton,E'Twaun Moore,227.44375000000005,8.155049844791668,49400.0
140,Deandre Ayton,Khris Middleton,Chris Paul,Jrue Holiday,Cameron Payne,Dario Saric,227.43125000000003,7.668780411458334,48600.0
141,Devin Booker,Khris Middleton,Jrue Holiday,Deandre Ayton,P.J. Tucker,Cameron Johnson,227.425,8.551910675,49600.0
142,Jrue Holiday,Khris Middleton,Chris Paul,Deandre Ayton,Jae Crowder,Frank Kaminsky,227.41875000000002,8.086963015625,49000.0
143,Chris Paul,Khris Middleton,Devin Booker,Jrue Holiday,Cameron Johnson,Frank Kaminsky,227.39687500000002,7.833324588020835,47700.0
144,Deandre Ayton,Khris Middleton,Chris Paul,Devin Booker,Jae Crowder,Dario Saric,227.38125000000005,7.913824198958333,50000.0
145,Deandre Ayton,Chris Paul,Devin Booker,Jrue Holiday,Jae Crowder,Cameron Johnson,227.38125000000005,7.825089198958334,49600.0
146,Jrue Holiday,Khris Middleton,Chris Paul,Deandre Ayton,Pat Connaughton,Dario Saric,227.36875000000003,7.921989036458335,49200.0
147,Devin Booker,Khris Middleton,Chris Paul,Jrue Holiday,P.J. Tucker,Frank Kaminsky,227.35625000000005,8.298889736458335,49200.0
148,Cameron Payne,Khris Middleton,Chris Paul,Devin Booker,Jrue Holiday,Cameron Johnson,227.33125,7.680238678125001,48700.0
149,Chris Paul,Khris Middleton,Jrue Holiday,Deandre Ayton,Jae Crowder,Axel Toupane,227.32187500000003,7.895384700520835,49300.0
150,Jrue Holiday,Khris Middleton,Chris Paul,Devin Booker,Cameron Payne,Axel Toupane,227.29375000000005,8.085187044791668,49200.0
151,Chris Paul,Khris Middleton,Devin Booker,Jrue Holiday,P.J. Tucker,Jevon Carter,227.24687500000002,8.151557379687501,49300.0
152,Devin Booker,Khris Middleton,Chris Paul,Jrue Holiday,Cameron Payne,Jeff Teague,227.2395833333334,8.057600475347224,50000.0
153,Chris Paul,Khris Middleton,Jrue Holiday,Deandre Ayton,Jae Crowder,Abdel Nader,227.2385416666667,7.901866200520835,49500.0
154,Jrue Holiday,Khris Middleton,Chris Paul,Devin Booker,Cameron Payne,Abdel Nader,227.2104166666667,8.091668544791668,49400.0
155,Devin Booker,Khris Middleton,Chris Paul,Deandre Ayton,Cameron Payne,Dario Saric,227.20625000000004,7.750424278125001,49600.0
156,Devin Booker,Chris Paul,Jrue Holiday,Deandre Ayton,Cameron Payne,Cameron Johnson,227.20625000000004,7.661689278125001,49200.0
157,Jrue Holiday,Chris Paul,Devin Booker,Deandre Ayton,Mikal Bridges,Dario Saric,227.16875000000002,7.897279453125002,49600.0
158,Khris Middleton,Chris Paul,Devin Booker,Deandre Ayton,Torrey Craig,Cameron Johnson,227.13125,7.889790178125001,50000.0
159,Chris Paul,Khris Middleton,Jrue Holiday,Deandre Ayton,Cameron Payne,Frank Kaminsky,227.09687500000004,7.570360829687502,48300.0
160,Khris Middleton,Chris Paul,Jrue Holiday,Deandre Ayton,Jae Crowder,Thanasis Antetokounmpo,227.08125,8.222076698958334,49600.0
161,Chris Paul,Khris Middleton,Jrue Holiday,Deandre Ayton,Jae Crowder,Langston Galloway,227.07187500000003,7.896743450520835,49300.0
162,Deandre Ayton,Khris Middleton,Chris Paul,Jrue Holiday,Mikal Bridges,E'Twaun Moore,227.05625,7.938830486458333,49000.0
163,Chris Paul,Khris Middleton,Devin Booker,Deandre Ayton,Jae Crowder,Frank Kaminsky,227.046875,7.815404617187501,49700.0
164,Jrue Holiday,Khris Middleton,Chris Paul,Devin Booker,Cameron Payne,Langston Galloway,227.04375000000005,8.086545794791668,49200.0
165,Chris Paul,Khris Middleton,Devin Booker,Deandre Ayton,Pat Connaughton,Dario Saric,226.99687500000002,7.6504306380208345,49900.0
166,Chris Paul,Devin Booker,Jrue Holiday,Deandre Ayton,Pat Connaughton,Cameron Johnson,226.99687500000002,7.561695638020835,49500.0
167,Jrue Holiday,Khris Middleton,Chris Paul,Devin Booker,Cameron Johnson,Bryn Forbes,226.99375000000003,8.096302069791667,48800.0
168,Jrue Holiday,Khris Middleton,Chris Paul,Deandre Ayton,Torrey Craig,Cameron Johnson,226.99375,7.842209869791668,49000.0
169,Khris Middleton,Chris Paul,Devin Booker,Jrue Holiday,Cameron Johnson,Jeff Teague,226.98958333333334,8.16311801701389,48600.0
170,Khris Middleton,Chris Paul,Devin Booker,Deandre Ayton,Cameron Johnson,Dario Saric,226.95625,7.855941819791668,48200.0
171,Khris Middleton,Devin Booker,Jrue Holiday,Deandre Ayton,Cameron Payne,Dario Saric,226.95000000000002,8.299382591666667,49400.0
172,Jrue Holiday,Khris Middleton,Chris Paul,Devin Booker,Cameron Johnson,E'Twaun Moore,226.89375000000004,8.041422319791668,47400.0
173,Jrue Holiday,Khris Middleton,Chris Paul,Deandre Ayton,Mikal Bridges,Axel Toupane,226.84375,8.122176311458334,49400.0
174,Devin Booker,Khris Middleton,Chris Paul,Deandre Ayton,Mikal Bridges,E'Twaun Moore,226.83125,8.020474353125,50000.0
175,Jrue Holiday,Khris Middleton,Chris Paul,Deandre Ayton,Cameron Johnson,Dario Saric,226.81875000000002,7.808361511458335,47200.0
176,Khris Middleton,Chris Paul,Jrue Holiday,Deandre Ayton,P.J. Tucker,Frank Kaminsky,226.80625,8.141443519791668,48400.0
177,Jrue Holiday,Khris Middleton,Devin Booker,Deandre Ayton,Jae Crowder,Dario Saric,226.76250000000005,8.496846070833334,49800.0
178,Jrue Holiday,Khris Middleton,Chris Paul,Deandre Ayton,Mikal Bridges,Abdel Nader,226.76041666666666,8.128657811458334,49600.0
179,Deandre Ayton,Khris Middleton,Chris Paul,Devin Booker,Pat Connaughton,Cameron Johnson,226.73125000000005,7.805031994791666,50000.0
180,Khris Middleton,Chris Paul,Devin Booker,Deandre Ayton,Cameron Payne,E'Twaun Moore,226.73125000000002,7.826038869791668,49000.0
181,Jeff Teague,Khris Middleton,Chris Paul,Devin Booker,Jrue Holiday,Deandre Ayton,226.73125000000002,8.211042336458334,49800.0
182,Khris Middleton,Chris Paul,Jrue Holiday,Brook Lopez,Cameron Payne,Cameron Johnson,226.70625,7.676497178125002,49400.0
183,Jrue Holiday,Khris Middleton,Chris Paul,Deandre Ayton,Cameron Payne,Bryn Forbes,226.69375000000002,7.833338311458335,49400.0
184,Khris Middleton,Chris Paul,Jrue Holiday,Deandre Ayton,Cameron Payne,Jeff Teague,226.68958333333336,7.9001542586805575,49200.0
185,Khris Middleton,Chris Paul,Jrue Holiday,Deandre Ayton,Jae Crowder,Jevon Carter,226.68125,8.217030573958334,49600.0
186,Deandre Ayton,Khris Middleton,Chris Paul,Jrue Holiday,P.J. Tucker,Dario Saric,226.63125000000002,7.920724394791667,48400.0
187,Chris Paul,Khris Middleton,Devin Booker,Deandre Ayton,Torrey Craig,Cameron Johnson,226.621875,7.570651471354167,49700.0
188,Jrue Holiday,Khris Middleton,Chris Paul,Deandre Ayton,Cameron Payne,E'Twaun Moore,226.59375000000003,7.778458561458335,48000.0
